Species,Depth,Nutrients,Code,Time,fvfm,retr,par,temp
L.hyperboea,0m,NO,LH_1-0m,1,0.773,83.5,1039.6,16.9
L.hyperboea,0m,NO,LH_1-0m,2,0.59,42.1,631.24,18.9
L.hyperboea,0m,NO,LH_1-0m,3,0.385,21.92,1458.6,17.7
L.hyperboea,0m,NO,LH_1-0m,4,0.269,32.73,501.3,19.4
L.hyperboea,0m,NO,LH_1-0m,5,0.478,74.19,1215,20.5
L.hyperboea,0m,NO,LH_1-0m,6,0.404,9.1,509.8,22.6
L.hyperboea,0m,NO,LH_2-0m,1,0.779,87.99,985.93,17
L.hyperboea,0m,NO,LH_2-0m,2,0.487,40.29,644.92,18.9
L.hyperboea,0m,NO,LH_2-0m,3,0.267,40.55,1463.1,18
L.hyperboea,0m,NO,LH_2-0m,4,0.477,38.98,463.64,19.4
L.hyperboea,0m,NO,LH_2-0m,5,0.494,90.82,1216,20.5
L.hyperboea,0m,NO,LH_2-0m,6,0.422,33.24,532.1,22.8
L.hyperboea,0m,NO,LH_3-0m,1,0.445,64.83,985.93,17.1
L.hyperboea,0m,NO,LH_3-0m,2,0.432,62.66,650.75,19
L.hyperboea,0m,NO,LH_3-0m,3,0.218,40.55,1463.1,18
L.hyperboea,0m,NO,LH_3-0m,4,0.386,32.23,463.64,19.5
L.hyperboea,0m,NO,LH_3-0m,5,0.479,49.16,1217,20.5
L.hyperboea,0m,NO,LH_3-0m,6,0.471,35.21,585.6,22.8
L.hyperboea,0m,NO,LH_4-0m,1,0.752,71.6,946.77,17.1
L.hyperboea,0m,NO,LH_4-0m,2,0.583,40.65,650.75,19
L.hyperboea,0m,NO,LH_4-0m,3,0.323,42.33,1453.4,17.9
L.hyperboea,0m,NO,LH_4-0m,4,0.385,32.82,481.87,19.5
L.hyperboea,0m,NO,LH_4-0m,5,0.347,75.46,1217,20.6
L.hyperboea,0m,NO,LH_4-0m,6,0.292,9.35,642.2,22.8
L.hyperboea,0m,NO,LH_5-0m,1,0.52,85.1,805.24,17.2
L.hyperboea,0m,NO,LH_5-0m,2,0.593,58.96,650.42,19
L.hyperboea,0m,NO,LH_5-0m,3,0.13,19.8,1359.8,17.9
L.hyperboea,0m,NO,LH_5-0m,4,0.439,35.76,481.87,19.5
L.hyperboea,0m,NO,LH_5-0m,5,0.616,100.69,1218,20.6
L.hyperboea,0m,NO,LH_5-0m,6,0.569,30.77,642.2,22.8
L.hyperboea,15m,NO,LH_1-15m,1,0.7999,12.56,274.02,16.4
L.hyperboea,15m,NO,LH_1-15m,2,0.74,26.57,621.5,18.8
L.hyperboea,15m,NO,LH_1-15m,3,0.677,41.95,1474.9,17.5
L.hyperboea,15m,NO,LH_1-15m,4,0.053,15.52,533.62,19.3
L.hyperboea,15m,NO,LH_1-15m,5,0,26.87,1067,20.4
L.hyperboea,15m,NO,LH_2-15m,1,0.798,14.64,313.02,16.3
L.hyperboea,15m,NO,LH_2-15m,2,0.77,25.2,589.42,18.7
L.hyperboea,15m,NO,LH_2-15m,3,0.324,27.99,1466.9,17.4
L.hyperboea,15m,NO,LH_2-15m,4,0.725,24.12,533.62,19.2
L.hyperboea,15m,NO,LH_2-15m,5,0.722,52.49,1213,20.9
L.hyperboea,15m,NO,LH_2-15m,6,0.736,23.05,640.1,22.5
L.hyperboea,15m,NO,LH_3-15m,1,0.779,13.01,328.39,16.3
L.hyperboea,15m,NO,LH_3-15m,2,0.739,25.63,621.5,18.7
L.hyperboea,15m,NO,LH_3-15m,3,0.702,58.68,1474.9,17.6
L.hyperboea,15m,NO,LH_3-15m,4,0.763,20.66,500.34,19.2
L.hyperboea,15m,NO,LH_3-15m,5,0.767,52.62,1211,21.2
L.hyperboea,15m,NO,LH_3-15m,6,0.697,21.87,628.8,22.4
L.hyperboea,15m,NO,LH_4-15m,1,0.777,18.56,407.01,16.3
L.hyperboea,15m,NO,LH_4-15m,2,0.775,26.5,634.64,18.6
L.hyperboea,15m,NO,LH_4-15m,3,0.72,52.69,1755.6,17.6
L.hyperboea,15m,NO,LH_4-15m,4,0.648,20.53,506.29,19.3
L.hyperboea,15m,NO,LH_4-15m,5,0.543,3.1,1213,20.5
L.hyperboea,15m,NO,LH_5-15m,1,0.785,14.19,345.66,16.4
L.hyperboea,15m,NO,LH_5-15m,2,0.755,23.48,634.64,18.7
L.hyperboea,15m,NO,LH_5-15m,3,0.76,53.36,1474.9,17.7
L.hyperboea,15m,NO,LH_5-15m,4,0.763,23.92,534.1,19.2
L.hyperboea,15m,NO,LH_5-15m,5,0.694,36.93,1067,19.7
L.hyperboea,15m,NO,LH_5-15m,6,0.731,23.87,612.4,22.4
L.hyperboea,30m,NO,LH_1-30m,1,0.774,4.36,751.68,17.2
L.hyperboea,30m,NO,LH_1-30m,2,0.668,3.59,646.16,18.7
L.hyperboea,30m,NO,LH_1-30m,3,0.752,2.92,1410,17.6
L.hyperboea,30m,NO,LH_1-30m,4,0.14,1.13,494.12,19.2
L.hyperboea,30m,NO,LH_2-30m,1,0.787,3.18,569.58,17.2
L.hyperboea,30m,NO,LH_2-30m,2,0.727,3.55,647.21,18.6
L.hyperboea,30m,NO,LH_2-30m,3,0.693,7.76,1419.8,17.6
L.hyperboea,30m,NO,LH_2-30m,4,0.782,2.53,475.4,19.2
L.hyperboea,30m,NO,LH_2-30m,5,0.411,5.62,1214,20.2
L.hyperboea,30m,NO,LH_3-30m,1,0.737,3.13,545.32,17.2
L.hyperboea,30m,NO,LH_3-30m,2,0.768,3.66,646.98,18.6
L.hyperboea,30m,NO,LH_3-30m,3,0.357,7.85,1419.8,17.6
L.hyperboea,30m,NO,LH_3-30m,4,0.79,2.75,494.12,19.3
L.hyperboea,30m,NO,LH_3-30m,5,0.777,6.71,1214,20.1
L.hyperboea,30m,NO,LH_3-30m,6,0.735,2.79,506.2,22.4
L.hyperboea,30m,NO,LH_4-30m,1,0.73,3.06,545.32,17.3
L.hyperboea,30m,NO,LH_4-30m,2,0.051,0.45,643.62,18.6
L.hyperboea,30m,NO,LH_5-30m,1,0.796,3.53,610.84,17.3
L.hyperboea,30m,NO,LH_5-30m,2,0.118,0.3,647.21,18.6
L.ochroleuca,0m,NO,LO_1-0m,1,0.595,58.24,729.38,17.6
L.ochroleuca,0m,NO,LO_1-0m,2,0.513,118.29,1773.5,17.2
L.ochroleuca,0m,NO,LO_1-0m,3,0.76,81.85,1725.3,20.6
L.ochroleuca,0m,NO,LO_1-0m,4,0.396,0,1625.2,21.1
L.ochroleuca,0m,NO,LO_1-0m,5,0.452,29.08,773.79,20.2
L.ochroleuca,0m,NO,LO_1-0m,6,0.293,58.71,1689,22.9
L.ochroleuca,0m,NO,LO_2-0m,1,0.589,52.34,768.55,17.6
L.ochroleuca,0m,NO,LO_2-0m,2,0.364,59.67,1764.3,17.3
L.ochroleuca,0m,NO,LO_2-0m,3,0.279,20.28,1727,20.2
L.ochroleuca,0m,NO,LO_2-0m,4,0.074,49.62,1625.2,21.2
L.ochroleuca,0m,NO,LO_2-0m,5,0.319,21.14,803.57,20.1
L.ochroleuca,0m,NO,LO_2-0m,6,0.029,50.98,1696,22.9
L.ochroleuca,0m,NO,LO_3-0m,1,0.537,48.37,768.55,17.6
L.ochroleuca,0m,NO,LO_3-0m,2,0.555,16.57,1764.3,17.3
L.ochroleuca,0m,NO,LO_3-0m,3,0.637,29.28,1731.8,20.1
L.ochroleuca,0m,NO,LO_3-0m,4,0.299,37.41,1625.2,21.2
L.ochroleuca,0m,NO,LO_3-0m,5,0.379,31.77,878.48,20.1
L.ochroleuca,0m,NO,LO_3-0m,6,0.25,91.08,1701,23
L.ochroleuca,0m,NO,LO_4-0m,1,0.603,35.7,808.65,17.7
L.ochroleuca,0m,NO,LO_4-0m,2,0.487,64.53,1761.3,17.3
L.ochroleuca,0m,NO,LO_4-0m,3,0.411,45.55,1731.8,20
L.ochroleuca,0m,NO,LO_4-0m,4,0.402,43.68,1631.5,21.2
L.ochroleuca,0m,NO,LO_4-0m,5,0.558,21.04,878.48,20
L.ochroleuca,0m,NO,LO_4-0m,6,0.367,64.72,1701,23.7
L.ochroleuca,0m,NO,LO_5-0m,1,0.562,22.41,808.65,17.7
L.ochroleuca,0m,NO,LO_5-0m,2,0.372,4.14,1761.3,17.3
L.ochroleuca,0m,NO,LO_5-0m,3,0.244,146.64,1734.4,19.9
L.ochroleuca,0m,NO,LO_5-0m,4,0.269,0,1631.5,21.2
L.ochroleuca,0m,NO,LO_5-0m,5,0.481,40.58,872.59,20
L.ochroleuca,0m,NO,LO_5-0m,6,0.246,69.51,1701,23.7
L.ochroleuca,15m,NO,LO_1-15m,1,0.741,24.87,570.04,17.2
L.ochroleuca,15m,NO,LO_1-15m,2,0.75,49.21,1755.3,17.3
L.ochroleuca,15m,NO,LO_1-15m,3,0.382,65.9,1767.5,19.8
L.ochroleuca,15m,NO,LO_1-15m,4,0.702,34.4,1598.2,19.6
L.ochroleuca,15m,NO,LO_1-15m,5,0.685,37.13,1032.9,19.8
L.ochroleuca,15m,NO,LO_1-15m,6,0.621,27.79,1659,22.8
L.ochroleuca,15m,NO,LO_2-15m,1,0.737,24.64,570.04,17.2
L.ochroleuca,15m,NO,LO_2-15m,2,0.711,52.71,1769.9,17.4
L.ochroleuca,15m,NO,LO_2-15m,3,0.713,31.99,1768.3,19.8
L.ochroleuca,15m,NO,LO_2-15m,4,0.632,33.11,1590,19.7
L.ochroleuca,15m,NO,LO_2-15m,5,0.664,38.7,972.64,19.7
L.ochroleuca,15m,NO,LO_2-15m,6,0.681,25.59,1673,22.7
L.ochroleuca,15m,NO,LO_3-15m,1,0.752,25.47,594.92,17.2
L.ochroleuca,15m,NO,LO_3-15m,2,0.71,58.83,1771.2,17.3
L.ochroleuca,15m,NO,LO_3-15m,3,0.632,48.14,1768.3,19.8
L.ochroleuca,15m,NO,LO_3-15m,4,0.659,24.32,1602.2,19.7
L.ochroleuca,15m,NO,LO_3-15m,5,0.724,37.4,972.64,19.8
L.ochroleuca,15m,NO,LO_3-15m,6,0.714,27.6,1665,22.8
L.ochroleuca,15m,NO,LO_4-15m,1,0.749,25.16,578.35,17.2
L.ochroleuca,15m,NO,LO_4-15m,2,0.713,33.56,1769.9,17.4
L.ochroleuca,15m,NO,LO_4-15m,3,0.67,49.14,1767.5,19.9
L.ochroleuca,15m,NO,LO_4-15m,4,0.649,25.53,1590,19.7
L.ochroleuca,15m,NO,LO_4-15m,5,0.735,29.89,838.34,19.8
L.ochroleuca,15m,NO,LO_4-15m,6,0.709,26.21,1663,22.7
L.ochroleuca,15m,NO,LO_5-15m,1,0.758,25.33,570.04,17.2
L.ochroleuca,15m,NO,LO_5-15m,2,0.77,35.77,1767,17.4
L.ochroleuca,15m,NO,LO_5-15m,3,0.67,49.31,1762.6,19.9
L.ochroleuca,15m,NO,LO_5-15m,4,0.648,27.52,1598.2,19.8
L.ochroleuca,15m,NO,LO_5-15m,5,0.755,34.04,838.34,19.8
L.ochroleuca,15m,NO,LO_5-15m,6,0.667,29.21,1663,22.6
L.ochroleuca,30m,NO,LO_1-30m,1,0.762,4.89,874.86,18
L.ochroleuca,30m,NO,LO_1-30m,2,0.782,1.79,334.08,17.2
L.ochroleuca,30m,NO,LO_1-30m,3,0.641,7.26,1535.6,19.4
L.ochroleuca,30m,NO,LO_1-30m,4,0.686,7.72,1494,19.8
L.ochroleuca,30m,NO,LO_1-30m,5,0.727,4.25,863.51,19.6
L.ochroleuca,30m,NO,LO_2-30m,1,0.766,4.19,763.85,18
L.ochroleuca,30m,NO,LO_2-30m,2,0.769,2.67,486.41,17.2
L.ochroleuca,30m,NO,LO_2-30m,3,0.733,8.27,1737.9,19.3
L.ochroleuca,30m,NO,LO_2-30m,4,0.703,7.1,1506.2,19.9
L.ochroleuca,30m,NO,LO_2-30m,5,0.048,1.54,928.33,19.6
L.ochroleuca,30m,NO,LO_3-30m,1,0.76,4.3,763.85,18
L.ochroleuca,30m,NO,LO_3-30m,2,0.736,2.3,409.83,17.2
L.ochroleuca,30m,NO,LO_3-30m,3,0.693,9.16,1737.9,19.3
L.ochroleuca,30m,NO,LO_3-30m,4,0.748,8.59,1607.7,19.9
L.ochroleuca,30m,NO,LO_3-30m,5,0.739,4.72,863.51,19.6
L.ochroleuca,30m,NO,LO_3-30m,6,0.715,8.6,1688,22.6
L.ochroleuca,30m,NO,LO_4-30m,1,0.752,4.89,874.86,18
L.ochroleuca,30m,NO,LO_4-30m,2,0.778,1.69,303.49,17.2
L.ochroleuca,30m,NO,LO_4-30m,3,0.75,9.6,1744.3,19.2
L.ochroleuca,30m,NO,LO_4-30m,4,0.752,7.77,1494,20
L.ochroleuca,30m,NO,LO_4-30m,5,0.76,5.09,928.33,19.6
L.ochroleuca,30m,NO,LO_4-30m,6,0.728,8.58,1689,22.6
L.ochroleuca,30m,NO,LO_5-30m,1,0.745,4.23,763.85,18
L.ochroleuca,30m,NO,LO_5-30m,2,0.803,1.93,356.7,17.2
L.ochroleuca,30m,NO,LO_5-30m,3,0.733,7.51,1535.6,19.2
L.ochroleuca,30m,NO,LO_5-30m,4,0.057,0.3,1506.2,20
